comment_id,video_id,text,text_clean,author_pseudo,like_count,reply_count,is_reply,parent_id,published_at,comment_year,comment_ym,years_since_performance,days_since_upload,years_since_upload,comment_age_days,lang,lang_conf,lang_reliable,n_chars,n_tokens,n_emoji,is_textless,probe_who_listening,probe_personal_memory,probe_mortality,probe_restorative,lang_grp,dict_personal_memory,dict_mortality,dict_restorative,dict_who_listening,zs_mortality,zs_collective,zs_personal_memory,zs_restorative,zs_anemoia,zs_reflective,flag_personal_memory,flag_mortality,flag_restorative,flag_reflective,flag_collective,flag_anemoia,n_constructs,sentiment
UgzxoEzyrrIybM-YHJB4AaABAg,TdWEhMOrRpQ,This is the most beautiful song I've ever heard.,This is the most beautiful song I've ever heard.,fb19c36eb74f581f,1,0,False,,2026-09-09 03:58:01+00:00,2026,2026-09-01,29,3974,10.880219028062973,0,en,0.6492386028296333,True,48,9,0,False,False,False,False,False,en,False,False,False,False,0.9664856791496277,0.9453489184379578,0.8474003672599792,0.18326450884342194,0.1659645438194275,0.11460984498262405,False,False,False,False,False,False,0,positive
UgxrdE0YeVdO7pDKmG54AaABAg,TdWEhMOrRpQ,My ears are having the most Amazing orgasm ❤️❤️❤️❤️❤️,My ears are having the most Amazing orgasm ❤️❤️❤️❤️❤️,96d7adde4e91620d,0,0,False,,2026-09-08 20:39:31+00:00,2026,2026-09-01,29,3973,10.877481177275838,0,en,0.7808087995310294,True,53,9,5,False,False,False,False,False,en,False,False,False,False,0.855911374092102,0.8805148005485535,0.8122723698616028,0.897493302822113,0.032009806483983994,0.24844299256801605,False,False,False,False,False,False,0,positive
Ugxj2P0RkjZd3bbSwQF4AaABAg,TdWEhMOrRpQ,this song is ruined for me because of step brothers 🤣🤣,this song is ruined for me because of step brothers 🤣🤣,4d65373235db8863,0,0,False,,2026-09-08 00:00:06+00:00,2026,2026-09-01,29,3973,10.877481177275838,1,en,0.8349470752125704,True,54,11,1,False,False,False,False,False,en,False,False,False,False,0.9964412450790405,0.9626028537750244,0.9435494542121887,0.9611162543296814,0.6332969069480896,0.9554336071014404,False,False,False,False,False,True,1,negative
Ugy0zne73xLhW1zMaaZ4AaABAg,TdWEhMOrRpQ,"sou brasileira mas, entendo e meu Deus sou apaixonada pelas músicas dele, o sentimento que essas letras tranmitem, a pureza e paixão.  Amo a cultura italiana, meu sonho é visitar e morar na Itália, amo o Brasil,  temos cultura rica mas, meu olhos brilham pela Itália.","sou brasileira mas, entendo e meu Deus sou apaixonada pelas músicas dele, o sentimento que essas letras tranmitem, a pureza e paixão. Amo a cultura italiana, meu sonho é visitar e morar na Itália, amo o Brasil, temos cultura rica mas, meu olhos brilham pela Itália.",a02db38a712556ba,1,0,False,,2026-09-06 22:18:03+00:00,2026,2026-09-01,29,3971,10.872005475701574,2,pt,1.0,True,265,46,0,False,False,False,False,False,pt,False,False,False,False,0.07100921869277954,0.997478723526001,0.7272012233734131,0.4045073986053467,0.38317954540252686,0.05893884599208832,False,False,False,False,True,False,1,positive
Ugw2NQdOt-6ns_ARfJh4AaABAg,TdWEhMOrRpQ,Una de las mejores canciones de amor de la historia,Una de las mejores canciones de amor de la historia,b63502e38a83f240,0,0,False,,2026-09-06 12:45:23+00:00,2026,2026-09-01,29,3971,10.872005475701574,2,es,0.9474693101523124,True,51,10,0,False,False,False,False,False,es,False,False,False,False,0.9671971797943115,0.9195206165313721,0.45060110092163086,0.9895210862159729,0.23792988061904907,0.4685474634170532,False,False,True,False,False,False,1,positive
UgzkVyjDu_Qks34J4vF4AaABAg,TdWEhMOrRpQ,Setembro 2026. Ídolo eterno  ❤,Setembro 2026. Ídolo eterno ❤,942e271f76492bcc,0,0,False,,2026-09-06 04:46:46+00:00,2026,2026-09-01,29,3971,10.872005475701574,3,pt,0.8236560721942475,True,29,5,1,False,False,False,False,False,pt,False,False,False,False,0.9876281023025513,0.8080103993415833,0.5515736937522888,0.9656575322151184,0.08359066396951675,0.727685272693634,False,False,False,False,False,False,0,positive
Ugwe3ZDBmdgmfLMKAEZ4AaABAg,TdWEhMOrRpQ,As a kid I loved this song whenever my parents played it. My father just passed away from lung cancer and now it brings me to tears when listening to it. I think of my father who was born in Italy ❤️❤️❤️,As a kid I loved this song whenever my parents played it. My father just passed away from lung cancer and now it brings me to tears when listening to it. I think of my father who was born in Italy ❤️❤️❤️,324b23fb39c3ed6e,1,0,False,,2026-09-06 03:40:10+00:00,2026,2026-09-01,29,3971,10.872005475701574,3,en,1.0,True,203,42,3,False,False,True,True,False,en,True,True,False,False,0.9997512698173523,0.998981773853302,0.9978426098823547,0.9976078867912292,0.3788611888885498,0.9990960359573364,True,True,True,True,True,False,5,positive
UgwRKkOWyRgMhcvRO194AaABAg,TdWEhMOrRpQ,"Im from Germany, this Voice is Gold   ,, just love<3","Im from Germany, this Voice is Gold ,, just love<3",942b875e8559a04d,0,0,False,,2026-09-05 20:09:41+00:00,2026,2026-09-01,29,3970,10.869267624914444,3,en,0.570292368545946,True,50,10,0,False,False,False,False,False,en,False,False,False,False,0.9857180714607239,0.996058464050293,0.9026310443878174,0.7550053000450134,0.141148179769516,0.3449949026107788,False,False,False,False,True,False,1,positive
UgxwX7Ogc8e5mAkNUMp4AaABAg,TdWEhMOrRpQ,"À chaque instant je pense à toi, ma Marie, mon rayon de soleil.","À chaque instant je pense à toi, ma Marie, mon rayon de soleil.",b497302c6623f103,0,0,False,,2026-09-03 15:44:17+00:00,2026,2026-09-01,29,3968,10.86379192334018,5,fr,0.8223721791418047,True,63,13,0,False,False,False,False,False,fr,False,False,False,False,0.9975417852401733,0.9314936399459839,0.9323610067367554,0.4751182198524475,0.09938277304172516,0.8818440437316895,False,False,False,False,False,False,0,positive
UgwDlJyzeYf1YTQ_OLx4AaABAg,TdWEhMOrRpQ,Cette chanson est arrivée au Cameroun...cetait waouh 😍😍😍,Cette chanson est arrivée au Cameroun...cetait waouh 😍😍😍,c467938ebf02aa3c,0,0,False,,2026-09-02 22:02:18+00:00,2026,2026-09-01,29,3967,10.861054072553046,6,fr,0.9919413154103212,True,56,8,1,False,False,False,False,False,fr,False,False,False,False,0.9892544746398926,0.9802430868148804,0.4407099187374115,0.9841241240501404,0.3222859799861908,0.9521976709365845,False,False,True,False,False,False,1,positive
UgzBlDJOjZCgOm2RDp54AaABAg,TdWEhMOrRpQ,"Its just so beautiful. His voice. His music. The whole world watching him sing, the whole crowd was there waiting to listen, the choir too. Yet because of his blindness he cant see all of this. But you know I bet he doesnt need to because he carries all that richness inside himself.","Its just so beautiful. His voice. His music. The whole world watching him sing, the whole crowd was there waiting to listen, the choir too. Yet because of his blindness he cant see all of this. But you know I bet he doesnt need to because he carries all that richness inside himself.",bd9be0cae717a4df,0,0,False,,2026-08-31 22:07:01+00:00,2026,2026-08-01,29,3965,10.85557837097878,8,en,1.0,True,283,53,0,False,False,False,False,False,en,False,False,False,False,0.9918200373649597,0.3696562945842743,0.35064369440078735,0.4843800663948059,0.14934518933296204,0.8931230902671814,False,False,False,False,False,False,0,positive
Ugyq9e-euPLd-jzUlLV4AaABAg,TdWEhMOrRpQ,Ciao mi familia nella italia dall’america,Ciao mi familia nella italia dall’america,b7dfd4c5109c6396,0,0,False,,2026-08-28 19:29:25+00:00,2026,2026-08-01,29,3962,10.847364818617386,11,it,0.726385985203682,True,41,6,0,False,False,False,False,False,it,False,False,False,False,0.9979809522628784,0.9966691136360168,0.7848142385482788,0.9400235414505005,0.2852226495742798,0.6153190732002258,False,False,False,False,True,False,1,neutral
UgwgO0QRl7ipbiMXoWV4AaABAg,TdWEhMOrRpQ,"wow, 27k comments..stunning..83million view! WOW!","wow, 27k comments..stunning..83million view! WOW!",b2e9d2ee50397ea8,0,0,False,,2026-08-28 09:13:24+00:00,2026,2026-08-01,29,3962,10.847364818617386,12,en,0.7565474047843588,True,49,5,0,False,False,False,False,False,en,False,False,False,False,0.9556151628494263,0.8288349509239197,0.20212800800800323,0.698535144329071,0.11566072702407837,0.4060373902320862,False,False,False,False,False,False,0,positive
UgxJr7Juddl346-r7wZ4AaABAg,TdWEhMOrRpQ,"This song should be sent into deep space, perhaps aboard Voyager 2, to represent the human condition: a magnificent creature, alone in the vast universe, with no inherent meaning to its existence despite its unrelenting search for one.","This song should be sent into deep space, perhaps aboard Voyager 2, to represent the human condition: a magnificent creature, alone in the vast universe, with no inherent meaning to its existence despite its unrelenting search for one.",d236f5d0482cae13,2,0,False,,2026-08-28 07:44:03+00:00,2026,2026-08-01,29,3962,10.847364818617386,12,en,1.0,True,235,38,0,False,False,False,False,False,en,False,False,False,False,0.9322493076324463,0.0017961491830646992,0.14372768998146057,0.7671669125556946,0.6132365465164185,0.9963071346282959,False,False,False,True,False,True,2,positive
UgzPXkhhGWTvO7zMa1l4AaABAg,TdWEhMOrRpQ,😂 O CÉU DESCEU Â TERRA! LOUVADO SEJA DEUS!,😂 O CÉU DESCEU Â TERRA! LOUVADO SEJA DEUS!,0dd4cdc0b605ee31,0,0,False,,2026-08-26 14:02:31+00:00,2026,2026-08-01,29,3960,10.841889117043122,13,pt,0.8698377436667102,True,42,9,1,False,False,False,False,False,pt,False,False,False,False,0.998985767364502,0.9350505471229553,0.7248702645301819,0.9624266624450684,0.2809121906757355,0.9444944858551025,False,False,False,False,False,False,0,positive
UgwxyhEDrmwmwO8kEid4AaABAg,TdWEhMOrRpQ,I didn't know he had been blind since childhood....   ❤❤❤❤❤❤❤❤❤❤❤❤❤❤,I didn't know he had been blind since childhood... ❤❤❤,234cf87dcf2d0af0,0,0,False,,2026-08-26 12:13:16+00:00,2026,2026-08-01,29,3960,10.841889117043122,14,en,0.9395262837576832,True,54,10,1,False,False,False,False,False,en,False,False,False,False,0.9997225403785706,0.9155073165893555,0.858244001865387,0.9639500379562378,0.5833220481872559,0.9385653734207153,False,True,False,False,False,True,2,positive
