comment_id,video_id,text,text_clean,author_pseudo,like_count,reply_count,is_reply,parent_id,published_at,comment_year,comment_ym,years_since_performance,days_since_upload,years_since_upload,comment_age_days,lang,lang_conf,lang_reliable,n_chars,n_tokens,n_emoji,is_textless,probe_who_listening,probe_personal_memory,probe_mortality,probe_restorative
UgzxoEzyrrIybM-YHJB4AaABAg,TdWEhMOrRpQ,This is the most beautiful song I've ever heard.,This is the most beautiful song I've ever heard.,fb19c36eb74f581f,1,0,False,,2026-09-09 03:58:01+00:00,2026,2026-09-01,29,3974,10.880219028062971,0,en,0.6492386028296333,True,48,9,0,False,False,False,False,False
Ugwa0K_CIsI9InDYhoZ4AaABAg,TdWEhMOrRpQ,Magnifique Grandiose !,Magnifique Grandiose !,2f96d23ee1f14d71,1,0,False,,2026-09-08 22:23:34+00:00,2026,2026-09-01,29,3973,10.877481177275838,0,fr,0.47687756778472534,False,22,3,0,False,False,False,False,False
UgxrdE0YeVdO7pDKmG54AaABAg,TdWEhMOrRpQ,My ears are having the most Amazing orgasm ❤️❤️❤️❤️❤️,My ears are having the most Amazing orgasm ❤️❤️❤️❤️❤️,96d7adde4e91620d,0,0,False,,2026-09-08 20:39:31+00:00,2026,2026-09-01,29,3973,10.877481177275838,0,en,0.7808087995310294,True,53,9,5,False,False,False,False,False
Ugxj2P0RkjZd3bbSwQF4AaABAg,TdWEhMOrRpQ,this song is ruined for me because of step brothers 🤣🤣,this song is ruined for me because of step brothers 🤣🤣,4d65373235db8863,0,0,False,,2026-09-08 00:00:06+00:00,2026,2026-09-01,29,3973,10.877481177275838,1,en,0.8349470752125704,True,54,11,1,False,False,False,False,False
Ugy0zne73xLhW1zMaaZ4AaABAg,TdWEhMOrRpQ,"sou brasileira mas, entendo e meu Deus sou apaixonada pelas músicas dele, o sentimento que essas letras tranmitem, a pureza e paixão.  Amo a cultura italiana, meu sonho é visitar e morar na Itália, amo o Brasil,  temos cultura rica mas, meu olhos brilham pela Itália.","sou brasileira mas, entendo e meu Deus sou apaixonada pelas músicas dele, o sentimento que essas letras tranmitem, a pureza e paixão. Amo a cultura italiana, meu sonho é visitar e morar na Itália, amo o Brasil, temos cultura rica mas, meu olhos brilham pela Itália.",a02db38a712556ba,1,0,False,,2026-09-06 22:18:03+00:00,2026,2026-09-01,29,3971,10.872005475701574,2,pt,1.0,True,265,46,0,False,False,False,False,False
Ugy4Mi5Tp4bkzYk-T514AaABAg,TdWEhMOrRpQ,una de les millors cancons de tots els temps,una de les millors cancons de tots els temps,b63502e38a83f240,0,0,False,,2026-09-06 12:48:54+00:00,2026,2026-09-01,29,3971,10.872005475701574,2,fr,0.48369021317566374,False,44,9,0,False,False,False,False,False
Ugw2NQdOt-6ns_ARfJh4AaABAg,TdWEhMOrRpQ,Una de las mejores canciones de amor de la historia,Una de las mejores canciones de amor de la historia,b63502e38a83f240,0,0,False,,2026-09-06 12:45:23+00:00,2026,2026-09-01,29,3971,10.872005475701574,2,es,0.9474693101523123,True,51,10,0,False,False,False,False,False
UgzkVyjDu_Qks34J4vF4AaABAg,TdWEhMOrRpQ,Setembro 2026. Ídolo eterno  ❤,Setembro 2026. Ídolo eterno ❤,942e271f76492bcc,0,0,False,,2026-09-06 04:46:46+00:00,2026,2026-09-01,29,3971,10.872005475701574,3,pt,0.8236560721942475,True,29,5,1,False,False,False,False,False
Ugwe3ZDBmdgmfLMKAEZ4AaABAg,TdWEhMOrRpQ,As a kid I loved this song whenever my parents played it. My father just passed away from lung cancer and now it brings me to tears when listening to it. I think of my father who was born in Italy ❤️❤️❤️,As a kid I loved this song whenever my parents played it. My father just passed away from lung cancer and now it brings me to tears when listening to it. I think of my father who was born in Italy ❤️❤️❤️,324b23fb39c3ed6e,1,0,False,,2026-09-06 03:40:10+00:00,2026,2026-09-01,29,3971,10.872005475701574,3,en,0.9999999999999999,True,203,42,3,False,False,True,True,False
Ugxs-cnA_hDE1cAxIot4AaABAg,TdWEhMOrRpQ,Чудесно,Чудесно,295b42464a8cb5a3,1,0,False,,2026-09-05 20:39:07+00:00,2026,2026-09-01,29,3970,10.869267624914443,3,ru,1.0,False,7,1,0,False,False,False,False,False
UgwRKkOWyRgMhcvRO194AaABAg,TdWEhMOrRpQ,"Im from Germany, this Voice is Gold   ,, just love<3","Im from Germany, this Voice is Gold ,, just love<3",942b875e8559a04d,0,0,False,,2026-09-05 20:09:41+00:00,2026,2026-09-01,29,3970,10.869267624914443,3,en,0.570292368545946,True,50,10,0,False,False,False,False,False
UgxmUc9PLIkUvWfO1E94AaABAg,TdWEhMOrRpQ,Simplemente bella ☺️,Simplemente bella ☺️,39e58fb8e079eb5e,1,0,False,,2026-09-05 16:50:31+00:00,2026,2026-09-01,29,3970,10.869267624914443,3,es,0.2411928242563976,False,20,3,1,False,False,False,False,False
Ugy-qR5OpDpsBNxj1rx4AaABAg,TdWEhMOrRpQ,"Meu Deus,eu aqui em 2026!!!","Meu Deus,eu aqui em 2026!!!",d4f753265d6ee787,2,0,False,,2026-09-05 16:23:45+00:00,2026,2026-09-01,29,3970,10.869267624914443,3,pt,0.38828970267416824,False,27,5,0,False,False,False,False,False
Ugxn-RLEEd79rzTxfN54AaABAg,TdWEhMOrRpQ,Wowwww,Wowww,498749ae38549f9f,0,0,False,,2026-09-05 10:44:42+00:00,2026,2026-09-01,29,3970,10.869267624914443,4,tl,0.736762812795563,False,5,1,0,False,False,False,False,False
UgxdxTYQFo4owSTVhON4AaABAg,TdWEhMOrRpQ,How many on Sep 2026 ?,How many on Sep 2026 ?,f2a7ccccf6284ca1,2,0,False,,2026-09-05 03:12:17+00:00,2026,2026-09-01,29,3970,10.869267624914443,4,en,0.23278681755811426,False,22,6,0,False,True,False,False,False
UgyawkOgzeMNSewvSOl4AaABAg,TdWEhMOrRpQ,To je pecka Andrea 🤗,To je pecka Andrea 🤗,34dde9b226533fc1,0,0,False,,2026-09-04 22:44:36+00:00,2026,2026-09-01,29,3969,10.86652977412731,4,sv,0.23179467930057457,False,20,5,1,False,False,False,False,False
UgxYN8TSIJI4LiwbhCd4AaABAg,TdWEhMOrRpQ,"2026? 
👇😊",2026? 👇😊,69b1a674c85ca141,0,0,False,,2026-09-04 21:46:08+00:00,2026,2026-09-01,29,3969,10.86652977412731,4,en,0.0,False,8,2,1,False,True,False,False,False
UgwIHfsFfJ_45TZNGQ94AaABAg,TdWEhMOrRpQ,Art one!!!!,Art one!!!,6fa8db9838f364e3,0,0,False,,2026-09-04 14:27:39+00:00,2026,2026-09-01,29,3969,10.86652977412731,4,it,0.10963919284765239,False,10,2,0,False,False,False,False,False
UgxiQhtq4X2HPzz4KHh4AaABAg,TdWEhMOrRpQ,Nancy Gates.  Alaska,Nancy Gates. Alaska,dcb7d7f5ae02334b,0,0,False,,2026-09-04 06:47:56+00:00,2026,2026-09-01,29,3969,10.86652977412731,5,en,0.34938386881130573,False,19,3,0,False,False,False,False,False
Ugz7NOF5K0wp4ae9aax4AaABAg,TdWEhMOrRpQ,😍,😍,4aea9c4d216e41dd,0,0,False,,2026-09-04 05:26:26+00:00,2026,2026-09-01,29,3969,10.86652977412731,5,,0.0,False,1,1,1,True,False,False,False,False
UgwemI2YiCoTt0KxtsR4AaABAg,TdWEhMOrRpQ,Im listening now,Im listening now,48839c4cf4e7e5e7,1,0,False,,2026-09-04 04:03:22+00:00,2026,2026-09-01,29,3969,10.86652977412731,5,en,0.43762066618974627,False,16,3,0,False,False,False,False,False
Ugy5njndHCGjuXgBm5V4AaABAg,TdWEhMOrRpQ,What a beautiful experience,What a beautiful experience,d0623d5db049adb8,1,0,False,,2026-09-04 02:42:29+00:00,2026,2026-09-01,29,3969,10.86652977412731,5,en,0.7884493648897534,True,27,4,0,False,False,False,False,False
UgyrJY9ESfxfQVFmp0x4AaABAg,TdWEhMOrRpQ,Meme aveugle il jugent,Meme aveugle il jugent,a47cef720f3c0c63,0,0,False,,2026-09-03 22:18:59+00:00,2026,2026-09-01,29,3968,10.863791923340179,5,fr,0.8126055965676137,True,22,4,0,False,False,False,False,False
UgxwX7Ogc8e5mAkNUMp4AaABAg,TdWEhMOrRpQ,"À chaque instant je pense à toi, ma Marie, mon rayon de soleil.","À chaque instant je pense à toi, ma Marie, mon rayon de soleil.",b497302c6623f103,0,0,False,,2026-09-03 15:44:17+00:00,2026,2026-09-01,29,3968,10.863791923340179,5,fr,0.8223721791418047,True,63,13,0,False,False,False,False,False
Ugy9_zhl4wTz3RH4Kcx4AaABAg,TdWEhMOrRpQ,The song is so beatufil that 4 minutes are most played,The song is so beatufil that 4 minutes are most played,952f52b1da96bc99,1,0,False,,2026-09-02 23:55:09+00:00,2026,2026-09-01,29,3967,10.861054072553046,6,en,0.36457264252716165,False,54,11,0,False,False,False,False,False
UgwDlJyzeYf1YTQ_OLx4AaABAg,TdWEhMOrRpQ,Cette chanson est arrivée au Cameroun...cetait waouh 😍😍😍,Cette chanson est arrivée au Cameroun...cetait waouh 😍😍😍,c467938ebf02aa3c,0,0,False,,2026-09-02 22:02:18+00:00,2026,2026-09-01,29,3967,10.861054072553046,6,fr,0.9919413154103213,True,56,8,1,False,False,False,False,False
UgyNzyZNcagc7U5V7ox4AaABAg,TdWEhMOrRpQ,Listening to this Sept 2026,Listening to this Sept 2026,e04cfa46f0a1b725,1,0,False,,2026-09-02 20:17:19+00:00,2026,2026-09-01,29,3967,10.861054072553046,6,en,0.5116672253581649,False,27,5,0,False,False,False,False,False
UgyDtgdu_EBXwXzikJt4AaABAg,TdWEhMOrRpQ,Divin,Divin,724b9f0ec561ff90,1,0,False,,2026-09-01 17:37:37+00:00,2026,2026-09-01,29,3966,10.858316221765914,7,en,0.23111981837625095,False,5,1,0,False,False,False,False,False
Ugzydibdj2xqTBwA8qR4AaABAg,TdWEhMOrRpQ,"Благодарю
❤❤❤",Благодарю ❤❤❤,9a4b5a6b2a082f45,0,0,False,,2026-09-01 12:11:13+00:00,2026,2026-09-01,29,3966,10.858316221765914,8,ru,1.0,False,13,2,1,False,False,False,False,False
UgzBlDJOjZCgOm2RDp54AaABAg,TdWEhMOrRpQ,"Its just so beautiful. His voice. His music. The whole world watching him sing, the whole crowd was there waiting to listen, the choir too. Yet because of his blindness he cant see all of this. But you know I bet he doesnt need to because he carries all that richness inside himself.","Its just so beautiful. His voice. His music. The whole world watching him sing, the whole crowd was there waiting to listen, the choir too. Yet because of his blindness he cant see all of this. But you know I bet he doesnt need to because he carries all that richness inside himself.",bd9be0cae717a4df,0,0,False,,2026-08-31 22:07:01+00:00,2026,2026-08-01,29,3965,10.855578370978781,8,en,1.0,True,283,53,0,False,False,False,False,False
Ugy4WkuhBoevdwxRmeB4AaABAg,TdWEhMOrRpQ,SUBLIME!!!!!!❤,SUBLIME!!!❤,d99185f86553f2ab,0,0,False,,2026-08-31 19:09:55+00:00,2026,2026-08-01,29,3965,10.855578370978781,8,pt,0.19106039967236635,False,11,1,1,False,False,False,False,False
Ugy67PUFW7leY1GK8EN4AaABAg,TdWEhMOrRpQ,❤❤❤❤❤❤❤,❤❤❤,b55c72d2bb5c8bfb,0,0,False,,2026-08-31 02:30:17+00:00,2026,2026-08-01,29,3965,10.855578370978781,9,en,0.0,False,3,1,1,True,False,False,False,False
